ts,count,passenger_ratio,count_v1,passenger_ratio_v1,L1,count_v2,passenger_ratio_v2,L2,month,day,hour,minute,week,weekday,holiday,freeday,offday,workday
2024-01-01 00:00:00,133,0.4962,132.0,0.4848,6.8,116.0,0.5517,16.3,1,1,0,0,1,1,1,0,0,0
2024-01-01 00:15:00,128,0.3984,118.0,0.4661,6.8,128.0,0.5703,16.3,1,1,0,15,1,1,1,0,0,0
2024-01-01 00:30:00,117,0.4957,115.0,0.4435,6.8,116.0,0.4569,16.3,1,1,0,30,1,1,1,0,0,0
2024-01-01 00:45:00,134,0.4552,103.0,0.4466,6.8,106.0,0.5094,16.3,1,1,0,45,1,1,1,0,0,0
2024-01-01 01:00:00,107,0.3458,114.0,0.2895,6.8,116.0,0.3707,16.3,1,1,1,0,1,1,1,0,0,0
2024-01-01 01:15:00,111,0.3514,100.0,0.37,6.8,98.0,0.4286,16.3,1,1,1,15,1,1,1,0,0,0
2024-01-01 01:30:00,101,0.3564,91.0,0.3407,6.8,70.0,0.4714,16.3,1,1,1,30,1,1,1,0,0,0
2024-01-01 01:45:00,86,0.3837,89.0,0.4831,6.8,101.0,0.6238,16.3,1,1,1,45,1,1,1,0,0,0
2024-01-01 02:00:00,125,0.536,111.0,0.5766,6.8,124.0,0.5726,16.3,1,1,2,0,1,1,1,0,0,0
2024-01-01 02:15:00,110,0.5,113.0,0.4779,6.8,117.0,0.5983,16.3,1,1,2,15,1,1,1,0,0,0
2024-01-01 02:30:00,129,0.5349,134.0,0.5373,6.8,131.0,0.6107,16.3,1,1,2,30,1,1,1,0,0,0
2024-01-01 02:45:00,111,0.5315,110.0,0.5182,6.8,145.0,0.6414,16.3,1,1,2,45,1,1,1,0,0,0
2024-01-01 03:00:00,140,0.5071,137.0,0.5182,6.8,129.0,0.5891,16.3,1,1,3,0,1,1,1,0,0,0
2024-01-01 03:15:00,105,0.4095,124.0,0.371,6.8,114.0,0.5,16.3,1,1,3,15,1,1,1,0,0,0
2024-01-01 03:30:00,116,0.3534,101.0,0.3465,6.8,95.0,0.4,16.3,1,1,3,30,1,1,1,0,0,0
2024-01-01 03:45:00,94,0.3191,87.0,0.3218,6.8,73.0,0.3425,16.3,1,1,3,45,1,1,1,0,0,0
2024-01-01 04:00:00,90,0.2222,88.0,0.2045,6.8,69.0,0.3043,16.3,1,1,4,0,1,1,1,0,0,0
2024-01-01 04:15:00,114,0.2895,89.0,0.2809,6.8,79.0,0.3038,16.3,1,1,4,15,1,1,1,0,0,0
2024-01-01 04:30:00,78,0.3077,74.0,0.2432,6.8,94.0,0.3723,16.3,1,1,4,30,1,1,1,0,0,0
2024-01-01 04:45:00,101,0.2376,95.0,0.2526,6.8,71.0,0.3239,16.3,1,1,4,45,1,1,1,0,0,0
2024-01-01 05:00:00,98,0.2551,91.0,0.2308,6.8,76.0,0.3421,16.3,1,1,5,0,1,1,1,0,0,0
2024-01-01 05:15:00,121,0.2893,100.0,0.29,6.8,91.0,0.3736,16.3,1,1,5,15,1,1,1,0,0,0
2024-01-01 05:30:00,116,0.319,98.0,0.2347,6.8,86.0,0.186,16.3,1,1,5,30,1,1,1,0,0,0
2024-01-01 05:45:00,115,0.2261,109.0,0.2844,6.8,110.0,0.4,16.3,1,1,5,45,1,1,1,0,0,0
2024-01-01 06:00:00,153,0.3529,134.0,0.2388,6.8,103.0,0.2816,16.3,1,1,6,0,1,1,1,0,0,0
2024-01-01 06:15:00,174,0.3448,143.0,0.2448,6.8,116.0,0.3276,16.3,1,1,6,15,1,1,1,0,0,0
2024-01-01 06:30:00,167,0.3593,144.0,0.3542,6.8,119.0,0.3277,16.3,1,1,6,30,1,1,1,0,0,0
2024-01-01 06:45:00,178,0.3371,156.0,0.2821,6.8,118.0,0.339,16.3,1,1,6,45,1,1,1,0,0,0
2024-01-01 07:00:00,199,0.3568,179.0,0.324,6.8,147.0,0.3946,16.3,1,1,7,0,1,1,1,0,0,0
2024-01-01 07:15:00,208,0.4183,178.0,0.382,6.8,167.0,0.3772,16.3,1,1,7,15,1,1,1,0,0,0
2024-01-01 07:30:00,251,0.4024,216.0,0.3519,6.8,189.0,0.3968,16.3,1,1,7,30,1,1,1,0,0,0
2024-01-01 07:45:00,259,0.444,237.0,0.3671,6.8,213.0,0.4836,16.3,1,1,7,45,1,1,1,0,0,0
2024-01-01 08:00:00,318,0.478,250.0,0.492,6.8,226.0,0.4646,16.3,1,1,8,0,1,1,1,0,0,0
2024-01-01 08:15:00,309,0.5178,269.0,0.5056,6.8,242.0,0.5331,16.3,1,1,8,15,1,1,1,0,0,0
2024-01-01 08:30:00,310,0.5452,277.0,0.509,6.8,218.0,0.5275,16.3,1,1,8,30,1,1,1,0,0,0
2024-01-01 08:45:00,304,0.5395,233.0,0.5193,6.8,248.0,0.6048,16.3,1,1,8,45,1,1,1,0,0,0
2024-01-01 09:00:00,351,0.5897,319.0,0.5172,6.8,293.0,0.6041,16.3,1,1,9,0,1,1,1,0,0,0
2024-01-01 09:15:00,408,0.5882,316.0,0.5443,6.8,295.0,0.6373,16.3,1,1,9,15,1,1,1,0,0,0
2024-01-01 09:30:00,434,0.6267,367.0,0.5995,6.8,320.0,0.6469,16.3,1,1,9,30,1,1,1,0,0,0
2024-01-01 09:45:00,427,0.6347,362.0,0.6298,6.8,366.0,0.7186,16.3,1,1,9,45,1,1,1,0,0,0
2024-01-01 10:00:00,456,0.6667,391.0,0.6598,6.8,390.0,0.7051,16.3,1,1,10,0,1,1,1,0,0,0
2024-01-01 10:15:00,450,0.6489,389.0,0.6015,6.8,408.0,0.777,16.3,1,1,10,15,1,1,1,0,0,0
2024-01-01 10:30:00,452,0.677,396.0,0.6919,6.8,416.0,0.8101,16.3,1,1,10,30,1,1,1,0,0,0
2024-01-01 10:45:00,476,0.7437,387.0,0.7519,6.8,408.0,0.7647,16.3,1,1,10,45,1,1,1,0,0,0
2024-01-01 11:00:00,416,0.6851,416.0,0.6755,6.8,440.0,0.8136,16.3,1,1,11,0,1,1,1,0,0,0
2024-01-01 11:15:00,460,0.7109,432.0,0.7315,6.8,472.0,0.8178,16.3,1,1,11,15,1,1,1,0,0,0
2024-01-01 11:30:00,442,0.7127,415.0,0.7277,6.8,467.0,0.8009,16.3,1,1,11,30,1,1,1,0,0,0
2024-01-01 11:45:00,424,0.7123,410.0,0.7366,6.8,440.0,0.8159,16.3,1,1,11,45,1,1,1,0,0,0
2024-01-01 12:00:00,414,0.7222,391.0,0.6752,6.8,409.0,0.7946,16.3,1,1,12,0,1,1,1,0,0,0
2024-01-01 12:15:00,391,0.6445,375.0,0.6773,6.8,395.0,0.762,16.3,1,1,12,15,1,1,1,0,0,0
2024-01-01 12:30:00,437,0.6728,409.0,0.6944,6.8,455.0,0.8066,16.3,1,1,12,30,1,1,1,0,0,0
2024-01-01 12:45:00,426,0.6901,397.0,0.6902,6.8,435.0,0.8115,16.3,1,1,12,45,1,1,1,0,0,0
2024-01-01 13:00:00,439,0.6993,421.0,0.7126,6.8,490.0,0.8061,16.3,1,1,13,0,1,1,1,0,0,0
2024-01-01 13:15:00,493,0.6876,451.0,0.7206,6.8,508.0,0.8366,16.3,1,1,13,15,1,1,1,0,0,0
2024-01-01 13:30:00,513,0.7817,491.0,0.7902,6.8,551.0,0.8312,16.3,1,1,13,30,1,1,1,0,0,0
2024-01-01 13:45:00,629,0.7933,583.0,0.8216,6.8,686.0,0.8965,16.3,1,1,13,45,1,1,1,0,0,0
2024-01-01 14:00:00,709,0.8293,649.0,0.8428,6.8,736.0,0.8709,16.3,1,1,14,0,1,1,1,0,0,0
2024-01-01 14:15:00,774,0.8178,720.0,0.8431,6.8,800.0,0.8825,16.3,1,1,14,15,1,1,1,0,0,0
2024-01-01 14:30:00,852,0.8603,789.0,0.8606,6.8,861.0,0.9129,16.3,1,1,14,30,1,1,1,0,0,0
2024-01-01 14:45:00,819,0.8779,804.0,0.8831,6.8,922.0,0.9056,16.3,1,1,14,45,1,1,1,0,0,0
2024-01-01 15:00:00,909,0.8614,883.0,0.889,6.8,1033.0,0.9274,16.3,1,1,15,0,1,1,1,0,0,0
2024-01-01 15:15:00,918,0.8943,858.0,0.9056,6.8,1020.0,0.9245,16.3,1,1,15,15,1,1,1,0,0,0
2024-01-01 15:30:00,958,0.8674,946.0,0.8858,6.8,1116.0,0.9211,16.3,1,1,15,30,1,1,1,0,0,0
2024-01-01 15:45:00,984,0.8902,1037.0,0.8968,6.8,1173.0,0.9241,16.3,1,1,15,45,1,1,1,0,0,0
2024-01-01 16:00:00,1007,0.8928,1063.0,0.9059,6.8,1164.0,0.9381,16.3,1,1,16,0,1,1,1,0,0,0
2024-01-01 16:15:00,1037,0.8901,993.0,0.9174,6.8,1175.0,0.9345,16.3,1,1,16,15,1,1,1,0,0,0
2024-01-01 16:30:00,929,0.9064,964.0,0.916,6.8,1182.0,0.9272,16.3,1,1,16,30,1,1,1,0,0,0
2024-01-01 16:45:00,978,0.8834,955.0,0.8921,6.8,1137.0,0.9156,16.3,1,1,16,45,1,1,1,0,0,0
2024-01-01 17:00:00,954,0.8994,1078.0,0.8961,6.8,1086.0,0.9328,16.3,1,1,17,0,1,1,1,0,0,0
2024-01-01 17:15:00,889,0.8796,869.0,0.9114,6.8,1025.0,0.9356,16.3,1,1,17,15,1,1,1,0,0,0
2024-01-01 17:30:00,803,0.8742,813.0,0.8954,6.8,887.0,0.9188,16.3,1,1,17,30,1,1,1,0,0,0
2024-01-01 17:45:00,692,0.8902,708.0,0.8941,6.8,901.0,0.9123,16.3,1,1,17,45,1,1,1,0,0,0
2024-01-01 18:00:00,739,0.8701,724.0,0.8812,6.8,769.0,0.9025,16.3,1,1,18,0,1,1,1,0,0,0
2024-01-01 18:15:00,608,0.8503,623.0,0.87,6.8,703.0,0.8834,16.3,1,1,18,15,1,1,1,0,0,0
2024-01-01 18:30:00,616,0.8279,610.0,0.8557,6.8,715.0,0.8685,16.3,1,1,18,30,1,1,1,0,0,0
2024-01-01 18:45:00,554,0.8159,592.0,0.8463,6.8,750.0,0.9,16.3,1,1,18,45,1,1,1,0,0,0
2024-01-01 19:00:00,575,0.833,603.0,0.8557,6.8,679.0,0.8984,16.3,1,1,19,0,1,1,1,0,0,0
2024-01-01 19:15:00,501,0.8084,486.0,0.8333,6.8,650.0,0.88,16.3,1,1,19,15,1,1,1,0,0,0
2024-01-01 19:30:00,497,0.8068,504.0,0.8234,6.8,612.0,0.8562,16.3,1,1,19,30,1,1,1,0,0,0
2024-01-01 19:45:00,475,0.7958,504.0,0.8274,6.8,650.0,0.8492,16.3,1,1,19,45,1,1,1,0,0,0
2024-01-01 20:00:00,477,0.8071,476.0,0.8424,6.8,554.0,0.8556,16.3,1,1,20,0,1,1,1,0,0,0
2024-01-01 20:15:00,459,0.7756,467.0,0.8051,6.8,562.0,0.8345,16.3,1,1,20,15,1,1,1,0,0,0
2024-01-01 20:30:00,459,0.7712,442.0,0.776,6.8,513.0,0.8187,16.3,1,1,20,30,1,1,1,0,0,0
